subvolume_size,patch_size,n_layers,d_model,d_ff,n_heads,d_encoder,lr,modelsize,completed,msg,dice_val_avg,logdir
128,16,8,64,32,4,64,0.0005,2.4624366760253906,True,Completed,0.6734854084880728,logs/3DVit_e100_gmwm_sv128_38bb37fd-13d7-488a-85ce-a31acc4ddfd0
128,16,16,64,64,8,64,0.0005,4.253452301025391,True,Completed,0.6684976988717131,logs/3DVit_e100_gmwm_sv128_df063703-7fe0-4e91-9e8e-2572a4aaad9d
128,16,8,128,64,64,128,0.0005,7.518589019775391,True,Completed,0.6763830616285927,logs/3DVit_e100_gmwm_sv128_8d5db215-95fc-40cd-98aa-824c89a6a03f
128,16,4,64,32,8,64,0.0005,1.8188819885253906,True,Completed,0.6747444773975172,logs/3DVit_e100_gmwm_sv128_546909f1-e807-45b8-8180-56f5c5b6ef8e
128,16,4,32,16,8,32,0.0005,0.7414894104003906,True,Completed,0.6726268914185074,logs/3DVit_e100_gmwm_sv128_8d70cb67-d6d2-471f-b028-a59aacdceec9
128,16,8,64,8,32,64,0.0005,2.2734718322753906,True,Completed,0.6744525103192579,logs/3DVit_e100_gmwm_sv128_fa375d3d-1f87-4ea1-ac73-708d7f32895e
128,16,4,8,16,8,8,0.0005,0.16012954711914062,True,Completed,0.6697108392652712,logs/3DVit_e100_gmwm_sv128_72e6276b-2c25-4afe-b788-98ee6153cfce
128,16,4,16,8,16,16,0.0005,0.3287696838378906,True,Completed,0.6736880878084586,logs/3DVit_e100_gmwm_sv128_57a6b034-4018-4042-a012-8b8a56d9b72e
128,16,8,32,128,32,32,0.0005,1.3513526916503906,True,Completed,0.6718677015681014,logs/3DVit_e100_gmwm_sv128_9c914cd6-8fc8-481e-9b3c-9776250e4988
128,16,8,32,16,4,32,0.0005,0.9070167541503906,True,Completed,0.6735932042724212,logs/3DVit_e100_gmwm_sv128_56f9c345-ccad-438b-a87a-41e86c0a3a30
128,16,8,64,32,4,64,0.0005,2.4624366760253906,True,Completed,0.6734366173806942,logs/3DVit_e100_gmwm_sv128_38bb37fd-13d7-488a-85ce-a31acc4ddfd0
128,16,16,64,64,8,64,0.0005,4.253452301025391,True,Completed,0.658054559638626,logs/3DVit_e100_gmwm_sv128_df063703-7fe0-4e91-9e8e-2572a4aaad9d
128,16,8,128,64,64,128,0.0005,7.518589019775391,True,Completed,0.6749397084901207,logs/3DVit_e100_gmwm_sv128_8d5db215-95fc-40cd-98aa-824c89a6a03f
128,16,4,64,32,8,64,0.0005,1.8188819885253906,True,Completed,0.6755677438095994,logs/3DVit_e100_gmwm_sv128_546909f1-e807-45b8-8180-56f5c5b6ef8e
128,16,4,32,16,8,32,0.0005,0.7414894104003906,True,Completed,0.6728113426973944,logs/3DVit_e100_gmwm_sv128_8d70cb67-d6d2-471f-b028-a59aacdceec9
128,16,4,8,16,8,8,0.0005,0.16012954711914062,True,Completed,0.669496588016811,logs/3DVit_e100_gmwm_sv128_72e6276b-2c25-4afe-b788-98ee6153cfce
128,16,8,64,8,32,64,0.0005,2.2734718322753906,True,Completed,0.6730330970726517,logs/3DVit_e100_gmwm_sv128_fa375d3d-1f87-4ea1-ac73-708d7f32895e
128,16,4,16,8,16,16,0.0005,0.3287696838378906,True,Completed,0.6736490075525485,logs/3DVit_e100_gmwm_sv128_57a6b034-4018-4042-a012-8b8a56d9b72e
128,16,8,32,128,32,32,0.0005,1.3513526916503906,True,Completed,0.6726247581996417,logs/3DVit_e100_gmwm_sv128_9c914cd6-8fc8-481e-9b3c-9776250e4988
128,16,8,32,16,4,32,0.0005,0.9070167541503906,True,Completed,0.6717616798062074,logs/3DVit_e100_gmwm_sv128_56f9c345-ccad-438b-a87a-41e86c0a3a30
128,16,8,64,32,4,64,0.0005,2.4624366760253906,True,Completed,0.6718657416732687,logs/3DVit_e100_gmwm_sv128_38bb37fd-13d7-488a-85ce-a31acc4ddfd0
128,16,16,64,64,8,64,0.0005,4.253452301025391,True,Completed,0.6679656395786685,logs/3DVit_e100_gmwm_sv128_df063703-7fe0-4e91-9e8e-2572a4aaad9d
128,16,4,64,32,8,64,0.0005,1.8188819885253906,True,Completed,0.673647506456626,logs/3DVit_e100_gmwm_sv128_546909f1-e807-45b8-8180-56f5c5b6ef8e
128,16,8,128,64,64,128,0.0005,7.518589019775391,True,Completed,0.6752907547511553,logs/3DVit_e100_gmwm_sv128_8d5db215-95fc-40cd-98aa-824c89a6a03f
128,16,4,32,16,8,32,0.0005,0.7414894104003906,True,Completed,0.672968677784267,logs/3DVit_e100_gmwm_sv128_8d70cb67-d6d2-471f-b028-a59aacdceec9
128,16,4,16,8,16,16,0.0005,0.3287696838378906,True,Completed,0.6720520140309082,logs/3DVit_e100_gmwm_sv128_57a6b034-4018-4042-a012-8b8a56d9b72e
128,16,4,8,16,8,8,0.0005,0.16012954711914062,True,Completed,0.6691596829577496,logs/3DVit_e100_gmwm_sv128_72e6276b-2c25-4afe-b788-98ee6153cfce
128,16,8,64,8,32,64,0.0005,2.2734718322753906,True,Completed,0.6740972603622237,logs/3DVit_e100_gmwm_sv128_fa375d3d-1f87-4ea1-ac73-708d7f32895e
128,16,8,32,16,4,32,0.0005,0.9070167541503906,True,Completed,0.6715866986073944,logs/3DVit_e100_gmwm_sv128_56f9c345-ccad-438b-a87a-41e86c0a3a30
128,16,8,64,32,4,64,0.0005,2.4624366760253906,True,Completed,0.6728657382099251,logs/3DVit_e100_gmwm_sv128_38bb37fd-13d7-488a-85ce-a31acc4ddfd0
128,16,8,32,128,32,32,0.0005,1.3513526916503906,True,Completed,0.673548463928072,logs/3DVit_e100_gmwm_sv128_9c914cd6-8fc8-481e-9b3c-9776250e4988
128,16,4,64,32,8,64,0.0005,1.8188819885253906,True,Completed,0.675530112103412,logs/3DVit_e100_gmwm_sv128_546909f1-e807-45b8-8180-56f5c5b6ef8e
128,16,8,128,64,64,128,0.0005,7.518589019775391,True,Completed,0.6754038561331597,logs/3DVit_e100_gmwm_sv128_8d5db215-95fc-40cd-98aa-824c89a6a03f
128,16,16,64,64,8,64,0.0005,4.253452301025391,True,Completed,0.665317848324776,logs/3DVit_e100_gmwm_sv128_df063703-7fe0-4e91-9e8e-2572a4aaad9d
128,16,4,32,16,8,32,0.0005,0.7414894104003906,True,Completed,0.6737574950644845,logs/3DVit_e100_gmwm_sv128_8d70cb67-d6d2-471f-b028-a59aacdceec9
128,16,4,16,8,16,16,0.0005,0.3287696838378906,True,Completed,0.674581278311579,logs/3DVit_e100_gmwm_sv128_57a6b034-4018-4042-a012-8b8a56d9b72e
128,16,4,8,16,8,8,0.0005,0.16012954711914062,True,Completed,0.669063772810133,logs/3DVit_e100_gmwm_sv128_72e6276b-2c25-4afe-b788-98ee6153cfce
128,16,8,64,8,32,64,0.0005,2.2734718322753906,True,Completed,0.673875004053116,logs/3DVit_e100_gmwm_sv128_fa375d3d-1f87-4ea1-ac73-708d7f32895e
128,16,8,32,16,4,32,0.0005,0.9070167541503906,True,Completed,0.6734815420288791,logs/3DVit_e100_gmwm_sv128_56f9c345-ccad-438b-a87a-41e86c0a3a30
128,16,8,64,32,4,64,0.0005,2.4624366760253906,True,Completed,0.6745188863653885,logs/3DVit_e100_gmwm_sv128_38bb37fd-13d7-488a-85ce-a31acc4ddfd0
128,16,8,32,128,32,32,0.0005,1.3513526916503906,True,Completed,0.674273209352242,logs/3DVit_e100_gmwm_sv128_9c914cd6-8fc8-481e-9b3c-9776250e4988
128,16,4,64,32,8,64,0.0005,1.8188819885253906,True,Completed,0.6761956944277413,logs/3DVit_e100_gmwm_sv128_546909f1-e807-45b8-8180-56f5c5b6ef8e
128,16,8,128,64,64,128,0.0005,7.518589019775391,True,Completed,0.6688130246965509,logs/3DVit_e100_gmwm_sv128_8d5db215-95fc-40cd-98aa-824c89a6a03f
128,16,4,32,16,8,32,0.0005,0.7414894104003906,True,Completed,0.6741470671013781,logs/3DVit_e100_gmwm_sv128_8d70cb67-d6d2-471f-b028-a59aacdceec9
128,16,16,64,64,8,64,0.0005,4.253452301025391,True,Completed,0.6680116637756952,logs/3DVit_e100_gmwm_sv128_df063703-7fe0-4e91-9e8e-2572a4aaad9d
128,16,4,16,8,16,16,0.0005,0.3287696838378906,True,Completed,0.6742477338565025,logs/3DVit_e100_gmwm_sv128_57a6b034-4018-4042-a012-8b8a56d9b72e
128,16,4,8,16,8,8,0.0005,0.16012954711914062,True,Completed,0.6722835569005263,logs/3DVit_e100_gmwm_sv128_72e6276b-2c25-4afe-b788-98ee6153cfce
128,16,8,64,8,32,64,0.0005,2.2734718322753906,True,Completed,0.6733555911402951,logs/3DVit_e100_gmwm_sv128_fa375d3d-1f87-4ea1-ac73-708d7f32895e
128,16,8,32,16,4,32,0.0005,0.9070167541503906,True,Completed,0.6720650078434695,logs/3DVit_e100_gmwm_sv128_56f9c345-ccad-438b-a87a-41e86c0a3a30
128,16,8,32,128,32,32,0.0005,1.3513526916503906,True,Completed,0.6753955616762762,logs/3DVit_e100_gmwm_sv128_9c914cd6-8fc8-481e-9b3c-9776250e4988
128,16,8,64,32,4,64,0.0005,2.4624366760253906,True,Completed,0.6757611687246122,logs/3DVit_e100_gmwm_sv128_38bb37fd-13d7-488a-85ce-a31acc4ddfd0
128,16,4,64,32,8,64,0.0005,1.8188819885253906,True,Completed,0.6764102578163147,logs/3DVit_e100_gmwm_sv128_546909f1-e807-45b8-8180-56f5c5b6ef8e
128,16,4,32,16,8,32,0.0005,0.7414894104003906,True,Completed,0.675196199040664,logs/3DVit_e100_gmwm_sv128_8d70cb67-d6d2-471f-b028-a59aacdceec9
128,16,8,128,64,64,128,0.0005,7.518589019775391,True,Completed,0.6742746751559408,logs/3DVit_e100_gmwm_sv128_8d5db215-95fc-40cd-98aa-824c89a6a03f
128,16,4,16,8,16,16,0.0005,0.3287696838378906,True,Completed,0.6755796482688501,logs/3DVit_e100_gmwm_sv128_57a6b034-4018-4042-a012-8b8a56d9b72e
128,16,4,8,16,8,8,0.0005,0.16012954711914062,True,Completed,0.6714175618008561,logs/3DVit_e100_gmwm_sv128_72e6276b-2c25-4afe-b788-98ee6153cfce
128,16,16,64,64,8,64,0.0005,4.253452301025391,True,Completed,0.6701883226633072,logs/3DVit_e100_gmwm_sv128_df063703-7fe0-4e91-9e8e-2572a4aaad9d
128,16,8,64,8,32,64,0.0005,2.2734718322753906,True,Completed,0.6751735265317718,logs/3DVit_e100_gmwm_sv128_fa375d3d-1f87-4ea1-ac73-708d7f32895e
128,16,4,64,32,8,64,0.0005,1.8188819885253906,True,Completed,0.6770437822530141,logs/3DVit_e100_gmwm_sv128_546909f1-e807-45b8-8180-56f5c5b6ef8e
128,16,8,64,32,4,64,0.0005,2.4624366760253906,True,Completed,0.6774696558713914,logs/3DVit_e100_gmwm_sv128_38bb37fd-13d7-488a-85ce-a31acc4ddfd0
128,16,8,32,16,4,32,0.0005,0.9070167541503906,True,Completed,0.6738623615942504,logs/3DVit_e100_gmwm_sv128_56f9c345-ccad-438b-a87a-41e86c0a3a30
128,16,8,32,128,32,32,0.0005,1.3513526916503906,True,Completed,0.6733908770900024,logs/3DVit_e100_gmwm_sv128_9c914cd6-8fc8-481e-9b3c-9776250e4988
128,16,4,32,16,8,32,0.0005,0.7414894104003906,True,Completed,0.6753325587824771,logs/3DVit_e100_gmwm_sv128_8d70cb67-d6d2-471f-b028-a59aacdceec9
128,16,8,128,64,64,128,0.0005,7.518589019775391,True,Completed,0.6746363639831543,logs/3DVit_e100_gmwm_sv128_8d5db215-95fc-40cd-98aa-824c89a6a03f
128,16,4,16,8,16,16,0.0005,0.3287696838378906,True,Completed,0.6749153999905838,logs/3DVit_e100_gmwm_sv128_57a6b034-4018-4042-a012-8b8a56d9b72e
128,16,4,8,16,8,8,0.0005,0.16012954711914062,True,Completed,0.6731409116795187,logs/3DVit_e100_gmwm_sv128_72e6276b-2c25-4afe-b788-98ee6153cfce
128,16,16,64,64,8,64,0.0005,4.253452301025391,True,Completed,0.6687319404200501,logs/3DVit_e100_gmwm_sv128_df063703-7fe0-4e91-9e8e-2572a4aaad9d
128,16,8,64,8,32,64,0.0005,2.2734718322753906,True,Completed,0.6757037059256903,logs/3DVit_e100_gmwm_sv128_fa375d3d-1f87-4ea1-ac73-708d7f32895e
128,16,4,64,32,8,64,0.0005,1.8188819885253906,True,Completed,0.6771277699031331,logs/3DVit_e100_gmwm_sv128_546909f1-e807-45b8-8180-56f5c5b6ef8e
128,16,8,32,128,32,32,0.0005,1.3513526916503906,True,Completed,0.6739849487417621,logs/3DVit_e100_gmwm_sv128_9c914cd6-8fc8-481e-9b3c-9776250e4988
128,16,8,64,32,4,64,0.0005,2.4624366760253906,True,Completed,0.6739881775881116,logs/3DVit_e100_gmwm_sv128_38bb37fd-13d7-488a-85ce-a31acc4ddfd0
128,16,8,32,16,4,32,0.0005,0.9070167541503906,True,Completed,0.6739923044254905,logs/3DVit_e100_gmwm_sv128_56f9c345-ccad-438b-a87a-41e86c0a3a30
128,16,4,32,16,8,32,0.0005,0.7414894104003906,True,Completed,0.6759299071211567,logs/3DVit_e100_gmwm_sv128_8d70cb67-d6d2-471f-b028-a59aacdceec9
128,16,4,16,8,16,16,0.0005,0.3287696838378906,True,Completed,0.6763349708757901,logs/3DVit_e100_gmwm_sv128_57a6b034-4018-4042-a012-8b8a56d9b72e
128,16,8,128,64,64,128,0.0005,7.518589019775391,True,Completed,0.6734665302853834,logs/3DVit_e100_gmwm_sv128_8d5db215-95fc-40cd-98aa-824c89a6a03f
128,16,4,8,16,8,8,0.0005,0.16012954711914062,True,Completed,0.6717105249041004,logs/3DVit_e100_gmwm_sv128_72e6276b-2c25-4afe-b788-98ee6153cfce
128,16,16,64,64,8,64,0.0005,4.253452301025391,True,Completed,0.6695295776191511,logs/3DVit_e100_gmwm_sv128_df063703-7fe0-4e91-9e8e-2572a4aaad9d
128,16,8,64,8,32,64,0.0005,2.2734718322753906,True,Completed,0.6751507183438855,logs/3DVit_e100_gmwm_sv128_fa375d3d-1f87-4ea1-ac73-708d7f32895e
128,16,4,64,32,8,64,0.0005,1.8188819885253906,True,Completed,0.6783173319540526,logs/3DVit_e100_gmwm_sv128_546909f1-e807-45b8-8180-56f5c5b6ef8e
128,16,8,32,128,32,32,0.0005,1.3513526916503906,True,Completed,0.6746979496980967,logs/3DVit_e100_gmwm_sv128_9c914cd6-8fc8-481e-9b3c-9776250e4988
128,16,8,64,32,4,64,0.0005,2.4624366760253906,True,Completed,0.6747651500137228,logs/3DVit_e100_gmwm_sv128_38bb37fd-13d7-488a-85ce-a31acc4ddfd0
128,16,8,32,16,4,32,0.0005,0.9070167541503906,True,Completed,0.6753906199806616,logs/3DVit_e100_gmwm_sv128_56f9c345-ccad-438b-a87a-41e86c0a3a30
128,16,4,32,16,8,32,0.0005,0.7414894104003906,True,Completed,0.6728934245674235,logs/3DVit_e100_gmwm_sv128_8d70cb67-d6d2-471f-b028-a59aacdceec9
128,16,4,16,8,16,16,0.0005,0.3287696838378906,True,Completed,0.6728275990799856,logs/3DVit_e100_gmwm_sv128_57a6b034-4018-4042-a012-8b8a56d9b72e
128,16,4,8,16,8,8,0.0005,0.16012954711914062,True,Completed,0.6690596381300373,logs/3DVit_e100_gmwm_sv128_72e6276b-2c25-4afe-b788-98ee6153cfce
128,16,8,128,64,64,128,0.0005,7.518589019775391,True,Completed,0.6764584269962812,logs/3DVit_e100_gmwm_sv128_8d5db215-95fc-40cd-98aa-824c89a6a03f
128,16,4,64,32,8,64,0.0005,1.8188819885253906,True,Completed,0.6750875311462502,logs/3DVit_e100_gmwm_sv128_546909f1-e807-45b8-8180-56f5c5b6ef8e
128,16,8,64,8,32,64,0.0005,2.2734718322753906,True,Completed,0.6758552719103661,logs/3DVit_e100_gmwm_sv128_fa375d3d-1f87-4ea1-ac73-708d7f32895e
128,16,16,64,64,8,64,0.0005,4.253452301025391,True,Completed,0.6692694182458676,logs/3DVit_e100_gmwm_sv128_df063703-7fe0-4e91-9e8e-2572a4aaad9d
128,16,8,32,128,32,32,0.0005,1.3513526916503906,True,Completed,0.6762313387895885,logs/3DVit_e100_gmwm_sv128_9c914cd6-8fc8-481e-9b3c-9776250e4988
128,16,4,32,16,8,32,0.0005,0.7414894104003906,True,Completed,0.6753616372221396,logs/3DVit_e100_gmwm_sv128_8d70cb67-d6d2-471f-b028-a59aacdceec9
128,16,8,32,16,4,32,0.0005,0.9070167541503906,True,Completed,0.6751351144753005,logs/3DVit_e100_gmwm_sv128_56f9c345-ccad-438b-a87a-41e86c0a3a30
128,16,8,64,32,4,64,0.0005,2.4624366760253906,True,Completed,0.6760908427991367,logs/3DVit_e100_gmwm_sv128_38bb37fd-13d7-488a-85ce-a31acc4ddfd0
128,16,4,16,8,16,16,0.0005,0.3287696838378906,True,Completed,0.6749814270358337,logs/3DVit_e100_gmwm_sv128_57a6b034-4018-4042-a012-8b8a56d9b72e
128,16,4,8,16,8,8,0.0005,0.16012954711914062,True,Completed,0.6733089528585737,logs/3DVit_e100_gmwm_sv128_72e6276b-2c25-4afe-b788-98ee6153cfce
128,16,8,128,64,64,128,0.0005,7.518589019775391,True,Completed,0.6774751936134543,logs/3DVit_e100_gmwm_sv128_8d5db215-95fc-40cd-98aa-824c89a6a03f
128,16,4,64,32,8,64,0.0005,1.8188819885253906,True,Completed,0.6777950509598382,logs/3DVit_e100_gmwm_sv128_546909f1-e807-45b8-8180-56f5c5b6ef8e
128,16,8,64,8,32,64,0.0005,2.2734718322753906,True,Completed,0.6771688429932843,logs/3DVit_e100_gmwm_sv128_fa375d3d-1f87-4ea1-ac73-708d7f32895e
128,16,4,32,16,8,32,0.0005,0.7414894104003906,True,Completed,0.673496876108019,logs/3DVit_e100_gmwm_sv128_8d70cb67-d6d2-471f-b028-a59aacdceec9
128,16,8,32,128,32,32,0.0005,1.3513526916503906,True,Completed,0.6746201044634768,logs/3DVit_e100_gmwm_sv128_9c914cd6-8fc8-481e-9b3c-9776250e4988
128,16,16,64,64,8,64,0.0005,4.253452301025391,True,Completed,0.6684126751987557,logs/3DVit_e100_gmwm_sv128_df063703-7fe0-4e91-9e8e-2572a4aaad9d
128,16,8,32,16,4,32,0.0005,0.9070167541503906,True,Completed,0.6763924972007149,logs/3DVit_e100_gmwm_sv128_56f9c345-ccad-438b-a87a-41e86c0a3a30
128,16,8,64,32,4,64,0.0005,2.4624366760253906,True,Completed,0.6746401096645157,logs/3DVit_e100_gmwm_sv128_38bb37fd-13d7-488a-85ce-a31acc4ddfd0
128,16,4,16,8,16,16,0.0005,0.3287696838378906,True,Completed,0.6723368003180151,logs/3DVit_e100_gmwm_sv128_57a6b034-4018-4042-a012-8b8a56d9b72e
128,16,4,8,16,8,8,0.0005,0.16012954711914062,True,Completed,0.6693348978695117,logs/3DVit_e100_gmwm_sv128_72e6276b-2c25-4afe-b788-98ee6153cfce
128,16,8,128,64,64,128,0.0005,7.518589019775391,True,Completed,0.6772977568601306,logs/3DVit_e100_gmwm_sv128_8d5db215-95fc-40cd-98aa-824c89a6a03f
128,16,4,64,32,8,64,0.0005,1.8188819885253906,True,Completed,0.6753514589447723,logs/3DVit_e100_gmwm_sv128_546909f1-e807-45b8-8180-56f5c5b6ef8e
128,16,8,64,8,32,64,0.0005,2.2734718322753906,True,Completed,0.6753028984132563,logs/3DVit_e100_gmwm_sv128_fa375d3d-1f87-4ea1-ac73-708d7f32895e
128,16,4,32,16,8,32,0.0005,0.7414894104003906,True,Completed,0.6746222800330114,logs/3DVit_e100_gmwm_sv128_8d70cb67-d6d2-471f-b028-a59aacdceec9
128,16,8,32,128,32,32,0.0005,1.3513526916503906,True,Completed,0.6770320785673042,logs/3DVit_e100_gmwm_sv128_9c914cd6-8fc8-481e-9b3c-9776250e4988
128,16,8,32,16,4,32,0.0005,0.9070167541503906,True,Completed,0.6759718978091288,logs/3DVit_e100_gmwm_sv128_56f9c345-ccad-438b-a87a-41e86c0a3a30
128,16,8,64,32,4,64,0.0005,2.4624366760253906,True,Completed,0.6767739026170028,logs/3DVit_e100_gmwm_sv128_38bb37fd-13d7-488a-85ce-a31acc4ddfd0
128,16,4,16,8,16,16,0.0005,0.3287696838378906,True,Completed,0.6738971895293183,logs/3DVit_e100_gmwm_sv128_57a6b034-4018-4042-a012-8b8a56d9b72e
128,16,16,64,64,8,64,0.0005,4.253452301025391,True,Completed,0.6760407639177223,logs/3DVit_e100_gmwm_sv128_df063703-7fe0-4e91-9e8e-2572a4aaad9d
128,16,4,8,16,8,8,0.0005,0.16012954711914062,True,Completed,0.6691730845915647,logs/3DVit_e100_gmwm_sv128_72e6276b-2c25-4afe-b788-98ee6153cfce
128,16,8,128,64,64,128,0.0005,7.518589019775391,True,Completed,0.6780613684340527,logs/3DVit_e100_gmwm_sv128_8d5db215-95fc-40cd-98aa-824c89a6a03f
128,16,4,64,32,8,64,0.0005,1.8188819885253906,True,Completed,0.6757377135126212,logs/3DVit_e100_gmwm_sv128_546909f1-e807-45b8-8180-56f5c5b6ef8e
128,16,8,64,8,32,64,0.0005,2.2734718322753906,True,Completed,0.6769646115993196,logs/3DVit_e100_gmwm_sv128_fa375d3d-1f87-4ea1-ac73-708d7f32895e
128,16,4,32,16,8,32,0.0005,0.7414894104003906,True,Completed,0.6732415870616312,logs/3DVit_e100_gmwm_sv128_8d70cb67-d6d2-471f-b028-a59aacdceec9
128,16,8,32,128,32,32,0.0005,1.3513526916503906,True,Completed,0.6740726585450925,logs/3DVit_e100_gmwm_sv128_9c914cd6-8fc8-481e-9b3c-9776250e4988
128,16,4,16,8,16,16,0.0005,0.3287696838378906,True,Completed,0.6734625218730221,logs/3DVit_e100_gmwm_sv128_57a6b034-4018-4042-a012-8b8a56d9b72e
128,16,8,32,16,4,32,0.0005,0.9070167541503906,True,Completed,0.6760404109954835,logs/3DVit_e100_gmwm_sv128_56f9c345-ccad-438b-a87a-41e86c0a3a30
128,16,8,64,32,4,64,0.0005,2.4624366760253906,True,Completed,0.6774107688351683,logs/3DVit_e100_gmwm_sv128_38bb37fd-13d7-488a-85ce-a31acc4ddfd0
128,16,4,8,16,8,8,0.0005,0.16012954711914062,True,Completed,0.6685846495000939,logs/3DVit_e100_gmwm_sv128_72e6276b-2c25-4afe-b788-98ee6153cfce
128,16,16,64,64,8,64,0.0005,4.253452301025391,True,Completed,0.6692226693818445,logs/3DVit_e100_gmwm_sv128_df063703-7fe0-4e91-9e8e-2572a4aaad9d
128,16,8,128,64,64,128,0.0005,7.518589019775391,True,Completed,0.6752151642975055,logs/3DVit_e100_gmwm_sv128_8d5db215-95fc-40cd-98aa-824c89a6a03f
128,16,4,64,32,8,64,0.0005,1.8188819885253906,True,Completed,0.6748669720009757,logs/3DVit_e100_gmwm_sv128_546909f1-e807-45b8-8180-56f5c5b6ef8e
128,16,4,32,16,8,32,0.0005,0.7414894104003906,True,Completed,0.6743280503310657,logs/3DVit_e100_gmwm_sv128_8d70cb67-d6d2-471f-b028-a59aacdceec9
128,16,8,64,8,32,64,0.0005,2.2734718322753906,True,Completed,0.6747941508104925,logs/3DVit_e100_gmwm_sv128_fa375d3d-1f87-4ea1-ac73-708d7f32895e
128,16,8,32,128,32,32,0.0005,1.3513526916503906,True,Completed,0.6760728108255485,logs/3DVit_e100_gmwm_sv128_9c914cd6-8fc8-481e-9b3c-9776250e4988
128,16,4,16,8,16,16,0.0005,0.3287696838378906,True,Completed,0.6748711796183339,logs/3DVit_e100_gmwm_sv128_57a6b034-4018-4042-a012-8b8a56d9b72e
128,16,8,64,32,4,64,0.0005,2.4624366760253906,True,Completed,0.6745982295588442,logs/3DVit_e100_gmwm_sv128_38bb37fd-13d7-488a-85ce-a31acc4ddfd0
128,16,4,8,16,8,8,0.0005,0.16012954711914062,True,Completed,0.6714529348047155,logs/3DVit_e100_gmwm_sv128_72e6276b-2c25-4afe-b788-98ee6153cfce
128,16,8,32,16,4,32,0.0005,0.9070167541503906,True,Completed,0.6736443223137606,logs/3DVit_e100_gmwm_sv128_56f9c345-ccad-438b-a87a-41e86c0a3a30
128,16,8,128,64,64,128,0.0005,7.518589019775391,True,Completed,0.6772399976065282,logs/3DVit_e100_gmwm_sv128_8d5db215-95fc-40cd-98aa-824c89a6a03f
128,16,16,64,64,8,64,0.0005,4.253452301025391,True,Completed,0.671679666952083,logs/3DVit_e100_gmwm_sv128_df063703-7fe0-4e91-9e8e-2572a4aaad9d
128,16,4,64,32,8,64,0.0005,1.8188819885253906,True,Completed,0.6769332572033532,logs/3DVit_e100_gmwm_sv128_546909f1-e807-45b8-8180-56f5c5b6ef8e
128,16,4,32,16,8,32,0.0005,0.7414894104003906,True,Completed,0.6760920709685275,logs/3DVit_e100_gmwm_sv128_8d70cb67-d6d2-471f-b028-a59aacdceec9
128,16,8,64,8,32,64,0.0005,2.2734718322753906,True,Completed,0.6760417630797939,logs/3DVit_e100_gmwm_sv128_fa375d3d-1f87-4ea1-ac73-708d7f32895e
128,16,4,16,8,16,16,0.0005,0.3287696838378906,True,Completed,0.6754877151627291,logs/3DVit_e100_gmwm_sv128_57a6b034-4018-4042-a012-8b8a56d9b72e
128,16,8,32,128,32,32,0.0005,1.3513526916503906,True,Completed,0.673690746489324,logs/3DVit_e100_gmwm_sv128_9c914cd6-8fc8-481e-9b3c-9776250e4988
128,16,4,8,16,8,8,0.0005,0.16012954711914062,True,Completed,0.6712438526906466,logs/3DVit_e100_gmwm_sv128_72e6276b-2c25-4afe-b788-98ee6153cfce
128,16,8,64,32,4,64,0.0005,2.4624366760253906,True,Completed,0.6774704173991556,logs/3DVit_e100_gmwm_sv128_38bb37fd-13d7-488a-85ce-a31acc4ddfd0
128,16,8,32,16,4,32,0.0005,0.9070167541503906,True,Completed,0.6755923126873218,logs/3DVit_e100_gmwm_sv128_56f9c345-ccad-438b-a87a-41e86c0a3a30
128,16,8,128,64,64,128,0.0005,7.518589019775391,True,Completed,0.6763647794723509,logs/3DVit_e100_gmwm_sv128_8d5db215-95fc-40cd-98aa-824c89a6a03f
128,16,4,64,32,8,64,0.0005,1.8188819885253906,True,Completed,0.6774460955670008,logs/3DVit_e100_gmwm_sv128_546909f1-e807-45b8-8180-56f5c5b6ef8e
128,16,16,64,64,8,64,0.0005,4.253452301025391,True,Completed,0.6713829832641703,logs/3DVit_e100_gmwm_sv128_df063703-7fe0-4e91-9e8e-2572a4aaad9d
128,16,4,32,16,8,32,0.0005,0.7414894104003906,True,Completed,0.6740644754547821,logs/3DVit_e100_gmwm_sv128_8d70cb67-d6d2-471f-b028-a59aacdceec9
128,16,8,64,8,32,64,0.0005,2.2734718322753906,True,Completed,0.6706239479152779,logs/3DVit_e100_gmwm_sv128_fa375d3d-1f87-4ea1-ac73-708d7f32895e
128,16,4,16,8,16,16,0.0005,0.3287696838378906,True,Completed,0.674704077212434,logs/3DVit_e100_gmwm_sv128_57a6b034-4018-4042-a012-8b8a56d9b72e
128,16,4,8,16,8,8,0.0005,0.16012954711914062,True,Completed,0.6710178906980312,logs/3DVit_e100_gmwm_sv128_72e6276b-2c25-4afe-b788-98ee6153cfce
128,16,8,32,128,32,32,0.0005,1.3513526916503906,True,Completed,0.6744529871564162,logs/3DVit_e100_gmwm_sv128_9c914cd6-8fc8-481e-9b3c-9776250e4988
128,16,8,64,32,4,64,0.0005,2.4624366760253906,True,Completed,0.6746691755558314,logs/3DVit_e100_gmwm_sv128_38bb37fd-13d7-488a-85ce-a31acc4ddfd0
128,16,8,32,16,4,32,0.0005,0.9070167541503906,True,Completed,0.6736554919104828,logs/3DVit_e100_gmwm_sv128_56f9c345-ccad-438b-a87a-41e86c0a3a30
128,16,8,128,64,64,128,0.0005,7.518589019775391,True,Completed,0.6766763886338788,logs/3DVit_e100_gmwm_sv128_8d5db215-95fc-40cd-98aa-824c89a6a03f
